scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S3_alt_parametric_fit,S4_post_policy,macro_effect,canonical_composition_effect,optional_composition_effect,retired_fit_vs_canonical,policy_effect,vfm_scenario,exact_base_conventional_share,exact_base_bev_share,exact_base_phev_share
comparison,2027,light_bev_km,1526.2493016934734,1527.894848571466,1527.8948485714661,1527.8948485714661,1617.0813522522196,1527.8948485714661,1.6455468779925013,2.2737367544323206e-13,0.0,89.1865036807535,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,light_phev_km,836.8426071609274,837.7448606381653,837.7448606381653,837.7448606381653,878.9008271436885,837.7448606381653,0.9022534772378776,0.0,0.0,41.155966505523224,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,light_pool_km,15137.142216885904,15153.462536960145,15153.462536960147,15153.462536960147,15153.462536960149,15194.886859366112,16.320320074240954,1.8189894035458565e-12,0.0,1.8189894035458565e-12,41.42432240596463,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,heavy_conventional_km,4108.254858445727,4112.502298273729,4112.502298273729,4112.502298273729,4112.502298273729,4119.718608088528,4.247439828001916,0.0,0.0,0.0,7.216309814798478,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,heavy_conventional_revenue,1233.804126742114,1235.0797313402818,1235.0797313402818,1235.0797313402818,1235.0797313402818,1140.195464828107,1.2756045981677744,0.0,0.0,0.0,-94.88426651217469,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,light_petrol_vkt,32388.168746026582,32439.623525179337,32439.623525179337,32439.623525179337,32439.623525179337,32537.295369514675,51.45477915275478,0.0,0.0,0.0,97.67184433533839,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,net_fed_revenue,2180.109373294469,2183.63560178457,2183.63560178457,2183.63560178457,2183.63560178457,2015.420177482934,3.526228490100948,0.0,0.0,0.0,-168.21542430163618,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,total_ruc_net_revenue,2271.6152884711487,2274.0483986207623,2274.0483986207623,2274.0483986207623,2272.5512391899188,2097.6338115907743,2.43311014961364,0.0,0.0,-1.497159430843567,-176.41458702998807,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,total_nltf_net_revenue,4965.432313608892,4971.391652248607,4971.391652248607,4971.391652248607,4969.894492817763,4626.761640916982,5.959338639714588,0.0,0.0,-1.497159430843567,-344.6300113316247,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,heavy_bev_km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
comparison,2027,heavy_bev_revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
