series_id,FY,span80_pct_before,span80_pct_after,span50_pct_before,span50_pct_after,median_multiplier_before,median_multiplier_after,span80_pct_abs_change,span50_pct_abs_change,median_multiplier_abs_change
gross_mvr_revenue,2047,12.225213049595009,12.225213049595009,7.637863312095671,7.637863312095671,1.0000000000291602,1.0000000000291602,0.0,0.0,0.0
gross_mvr_revenue,2048,12.22521304959501,12.22521304959501,7.637863312095683,7.637863312095683,1.00000000002916,1.00000000002916,0.0,0.0,0.0
gross_mvr_revenue,2049,12.22521304959499,12.22521304959499,7.637863312095683,7.637863312095683,1.0000000000291602,1.0000000000291602,0.0,0.0,0.0
gross_mvr_revenue,2050,12.225213049595007,12.225213049595007,7.637863312095688,7.637863312095688,1.00000000002916,1.00000000002916,0.0,0.0,0.0
gross_ped_revenue,2026,3.1666853207341767,3.1666853207341767,1.651071998695269,1.651071998695269,1.0014268881824087,1.0014268881824087,0.0,0.0,0.0
gross_ped_revenue,2027,9.56920779128432,9.56920779128432,2.0966347368446727,2.0966347368446727,1.001257959917674,1.001257959917674,0.0,0.0,0.0
gross_ped_revenue,2028,11.69219084029749,11.69219084029749,8.315389008273673,8.315389008273673,1.0098823863828015,1.0098823863828015,0.0,0.0,0.0
gross_ped_revenue,2029,11.647031861584649,11.647031861584649,8.412810040360492,8.412810040360492,1.00598191880182,1.00598191880182,0.0,0.0,0.0
gross_ped_revenue,2030,16.84031290044929,16.84031290044929,13.237826911707057,13.237826911707057,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2031,16.84031290044929,16.84031290044929,13.237826911707073,13.237826911707073,0.9482494624136742,0.9482494624136742,0.0,0.0,0.0
gross_ped_revenue,2032,16.84031290044931,16.84031290044931,13.237826911707074,13.237826911707074,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2033,16.840312900449305,16.840312900449305,13.237826911707081,13.237826911707081,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2034,16.840312900449298,16.840312900449298,13.237826911707073,13.237826911707073,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2035,16.840312900449305,16.840312900449305,13.237826911707053,13.237826911707053,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_ped_revenue,2036,16.84031290044929,16.84031290044929,13.237826911707067,13.237826911707067,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
gross_ped_revenue,2037,16.840312900449312,16.840312900449312,13.237826911707073,13.237826911707073,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
