engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2030,3293.676483685377,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2030,3253.937371565135,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2030,3243.5379249412995,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2031,3481.89911494128,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2031,3525.863036108908,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2050,11376.234075278322,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,future_forecast,2050,11564.205601236858,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2026,2089.05368416013,$m nominal ex GST,2089.05368416013,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2026,2074.47282065665,$m nominal ex GST,2074.47282065665,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2030,3289.93253419396,$m nominal ex GST,3289.93253419396,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2030,3296.86012635663,$m nominal ex GST,3296.86012635663,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2031,3499.01776521061,$m nominal ex GST,3499.01776521061,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2031,3506.1730346004,$m nominal ex GST,3506.1730346004,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2050,11292.2761974029,$m nominal ex GST,11292.2761974029,0
ar1,cur-published__off-published,total_ruc_net_revenue,Total RUC all classes,official_comparator,2050,11293.1026795033,$m nominal ex GST,11293.1026795033,0
