engine,source_path,series_id,FY,value,unit,formula,value_status,forecast_segment
ar1,Current finalist Base case,coo_revenue,2047,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,coo_revenue,2048,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,coo_revenue,2049,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,coo_revenue,2050,0.0,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2031,13975.746962431933,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2032,13775.00062702552,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2033,13525.177472846086,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2034,13237.583216969853,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2035,12912.571195009017,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2036,12552.122907498964,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2037,12146.54359530915,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2038,11684.693617102424,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2039,11178.367305618745,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2040,10641.233920367154,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2041,10111.285751276555,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2042,9611.762640128363,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2043,9132.405085672706,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2044,8671.836942368514,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2045,8238.50872385256,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2046,7823.61746025536,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2047,7423.469400556028,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2048,7035.468939563513,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2049,6654.1728255871385,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,current_light_ruc_conventional_modelled_km,2050,6284.47667973669,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2031,105.428538617792,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2032,107.880660403128,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2033,109.618818619908,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2034,110.874936585782,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2035,111.445970529907,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2036,111.176191918272,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2037,110.042913972117,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2038,107.913508675593,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2039,104.840874026332,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2040,100.944261351029,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,fed_refunds,2041,96.3322291474112,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
