baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2018Q4,Current planned path,historical_actual,Actual,1702.5580537077526,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2019Q1,Current planned path,historical_actual,Actual,1664.9907275407782,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2019Q2,Current planned path,historical_actual,Actual,1644.7482969301277,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2019Q3,Current planned path,historical_actual,Actual,1616.271849022156,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2019Q4,Current planned path,historical_actual,Actual,1578.7822651969495,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2020Q1,Current planned path,historical_actual,Actual,1506.785833256674,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2020Q2,Current planned path,historical_actual,Actual,1476.9731528047046,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2020Q3,Current planned path,historical_actual,Actual,1518.7948311969797,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2020Q4,Current planned path,historical_actual,Actual,1541.7142427336294,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2021Q1,Current planned path,historical_actual,Actual,1517.525141584026,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2021Q2,Current planned path,historical_actual,Actual,1521.016306340223,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2021Q3,Current planned path,historical_actual,Actual,1489.1106467848222,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2021Q4,Current planned path,historical_actual,Actual,1475.7690225316271,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2022Q1,Current planned path,historical_actual,Actual,1455.9408190336771,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2022Q2,Current planned path,historical_actual,Actual,1488.860008088108,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2022Q3,Current planned path,historical_actual,Actual,1524.7505981978798,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2022Q4,Current planned path,historical_actual,Actual,1549.0269452327714,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2023Q1,Current planned path,historical_actual,Actual,1521.7618781648694,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2023Q2,Current planned path,historical_actual,Actual,1532.857539802137,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2023Q3,Current planned path,historical_actual,Actual,1531.4092323893385,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2023Q4,Current planned path,historical_actual,Actual,1537.96922014214,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2024Q1,Current planned path,historical_actual,Actual,1520.2757620778643,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2024Q2,Current planned path,historical_actual,Actual,1507.4384642146947,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2024Q3,Current planned path,historical_actual,Actual,1490.9243707378405,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2024Q4,Current planned path,historical_actual,Actual,1502.0182743465325,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2025Q1,Current planned path,historical_actual,Actual,1499.78577995301,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2025Q2,Current planned path,historical_actual,Actual,1476.2931862205082,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2025Q3,Current planned path,historical_actual,Actual,1544.6797387351803,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2025Q4,Current planned path,historical_actual,Actual,1565.5435343949114,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2026Q1,Current planned path,future_forecast,Current finalist Base case,1529.8881193068491,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2026Q1,Current planned path,future_forecast,Current finalist comparison behavioural path,1529.796629103501,,
